Lema	Clase	Frec. gral.	Frec. norm.	Frec. norm.
científico	A	45092	117.456	134.844
cámara	N	45062	117.378	134.754
carta	N	45001	117.219	134.572
atrás	R	44948	117.081	134.413
superar	V	44834	116.784	134.072
oficial	A	44617	116.219	133.423
internet	N	44601	116.177	133.375
televisión	N	44591	116.151	133.345
alimento	N	44563	116.078	133.262
publicar	V	44538	116.013	133.187
mar	N	44530	115.992	133.163
plaza	N	44519	115.963	133.13
par	N	44493	115.896	133.052
ingreso	N	44473	115.843	132.993
nación	N	44421	115.708	132.837
requerir	V	44264	115.299	132.368
página	N	44239	115.234	132.293
Argentina	K	44212	115.164	132.212
prensa	N	44078	114.815	131.811
gracias a	P	44042	114.721	131.704
colocar	V	44017	114.656	131.629
apoyar	V	44008	114.632	131.602
andar	V	44002	114.617	131.584
marcar	V	43994	114.596	131.56
cama	N	43934	114.439	131.381
claro	R	43899	114.348	131.276
repetir	V	43872	114.278	131.195
interior	N	43844	114.205	131.112
contenido	N	43793	114.072	130.959
administración	N	43638	113.668	130.496
dedicar	V	43609	113.593	130.409
defensa	N	43574	113.502	130.304
departamento	N	43536	113.403	130.191
actuar	V	43491	113.286	130.056
fácil	A	43483	113.265	130.032
campaña	N	43477	113.249	130.014
siete	M	43440	113.153	129.904
Dios	K	43439	113.15	129.901
corazón	N	43430	113.127	129.874
plantear	V	43313	112.822	129.524
especialmente	R	43277	112.728	129.416
gestión	N	43264	112.694	129.377
ciudadano	N	43225	112.593	129.261
abuelo	N	43182	112.481	129.132
finalmente	R	43172	112.455	129.102
violencia	N	43088	112.236	128.851
demasiado	R	43084	112.225	128.839
importar	V	43050	112.137	128.737
aplicar	V	43008	112.027	128.612
”	Y	42908	111.767	128.313
técnico	A	42827	111.556	128.07
enviar	V	42803	111.493	127.999
justicia	N	42688	111.194	127.655
líder	N	42678	111.168	127.625
club	N	42580	110.913	127.332
América	K	42519	110.754	127.149
Colombia	K	42404	110.454	126.805
lleno	A	42401	110.446	126.796
víctima	N	42345	110.3	126.629
operación	N	42300	110.183	126.494
civil	A	42247	110.045	126.336
lanzar	V	42223	109.983	126.264
Europa	K	42141	109.769	126.019
cierto	A	42001	109.404	125.6
así que	C	41953	109.279	125.457
cuadro	N	41949	109.269	125.445
escenario	N	41949	109.269	125.445
característica	N	41925	109.206	125.373
pretender	V	41869	109.061	125.206
rápido	A	41806	108.896	125.017
asociación	N	41712	108.652	124.736
etcétera	Q	41653	108.498	124.56
ayuda	N	41640	108.464	124.521
lejos	R	41602	108.365	124.407
igual	R	41548	108.224	124.246
domingo	N	41496	108.089	124.09
tal vez	R	41494	108.084	124.084
suficiente	A	41447	107.961	123.944
manifestar	V	41445	107.956	123.938
carácter	N	41429	107.914	123.89
quizá	R	41328	107.651	123.588
“	Y	41316	107.62	123.552
funcionar	V	41294	107.563	123.486
novela	N	41275	107.513	123.429
concepto	N	41147	107.18	123.047
sumar	V	41115	107.097	122.951
escena	N	41082	107.011	122.852
10	M	41026	106.865	122.685
Chile	K	41026	106.865	122.685
memoria	N	40896	106.526	122.296
directo	A	40844	106.391	122.14
naturaleza	N	40834	106.365	122.111
grado	N	40829	106.352	122.096
sangre	N	40826	106.344	122.087
instituto	N	40810	106.302	122.039
